,demand_electricity_kw,demand_heat_kw,solar_availability,electricity_price,grid_availability,grid_emission_factor,outdoor_temperature,feed_in_tariff,gas_price,hp_air_cop,hp_geo_cop,hp_air_max
2020-03-01 07:00:00,121.4185457588578,1132.979393823886,0.012283285101254286,0.135,0.99,0.536325056,1.9,0.06,0.06899999999999999,2.033723058637083,3.11098,0.6665301289011283
2020-03-01 08:00:00,233.3531685549768,1145.647005167239,0.12107031144356489,0.135,0.99,0.532321277,2.8,0.06,0.06841585790067656,2.063149919614148,3.11098,0.6781200024294383
2020-03-01 09:00:00,302.1595774392405,1146.79594314678,0.3287914625759832,0.135,0.99,0.524144559,3.7,0.06,0.06721708965393436,2.791254486133767,3.11098,0.9746056641077122
2020-03-01 10:00:00,300.0708405495471,1080.32787566643,0.28309759671611706,0.135,0.99,0.513464298,3.7,0.06,0.06721708965393436,2.791254486133767,3.11098,0.9746056641077122
2020-03-01 11:00:00,297.0350663441949,1000.361395331889,0.44353099174610355,0.11475,0.99,0.498487129,3.0,0.06,0.06814946495695606,2.759740322580645,3.11098,0.9614162825377699
2020-03-01 12:00:00,275.606317038107,925.2147196693138,0.5932569875314341,0.11475,0.99,0.483381299,3.9,0.06,0.06695069671021388,2.800391162029459,3.11098,0.9784351544091452
2020-03-01 13:00:00,227.8765889795111,902.429941079393,0.36120611197129404,0.11475,0.99,0.470346406,3.4,0.06,0.0676166790695151,2.777660714285713,3.11098,0.968912694233406
2020-03-01 14:00:00,198.111872323581,918.3974674789238,0.4216958773584687,0.11475,0.99,0.464477083,3.2,0.06,0.0678830720132356,2.768671521035598,3.11098,0.9651511452654277
2020-03-01 15:00:00,226.2061771975177,900.9084485895187,0.3987694994696698,0.135,0.99,0.465281854,2.9,0.06,0.06828266142881632,2.066472222222221,3.11098,0.6794305901659404
2020-03-01 16:00:00,227.4234725080867,836.254339892979,0.13437797737530996,0.135,0.99,0.47217551,2.3,0.06,0.06899999999999999,2.046697368421053,3.11098,0.6716360016372968
2020-03-01 17:00:00,204.8567528150026,787.932706409138,0.05908345508832915,0.20249999999999999,0.99,0.471494283,2.1,0.06,0.06899999999999999,2.04018958664547,3.11098,0.669074136084823
2020-03-01 18:00:00,168.8949583942238,769.9624255426179,0.0007180864247287929,0.20249999999999999,0.99,0.456937495,1.5,0.06,0.06899999999999999,2.020912204724409,3.11098,0.6614949700215028
2020-03-01 19:00:00,149.9974570773616,780.9441502585111,0.0,0.20249999999999999,0.99,0.427608984,1.6,0.06,0.06899999999999999,2.024099763406941,3.11098,0.6627472083740211
2020-03-01 20:00:00,132.2721888836964,808.4622657270409,0.0,0.20249999999999999,0.99,0.383115156,1.4,0.06,0.06899999999999999,2.01773466981132,3.11098,0.660247062629544
2020-03-01 21:00:00,128.635839523005,863.5232974502458,0.0,0.135,0.99,0.329092744,1.8,0.06,0.06899999999999999,2.030505142405064,3.11098,0.6652647656971882
2020-03-01 22:00:00,110.1694637964574,947.7123375358558,0.0,0.135,0.99,0.301601367,1.1,0.06,0.06899999999999999,2.008261737089203,3.11098,0.6565291093980774
2020-03-01 23:00:00,91.3945056471333,1013.029453321206,0.0,0.08775000000000001,0.99,0.264664311,1.0,0.06,0.06899999999999999,2.005123828125,3.11098,0.6552983097406673
2020-03-02 00:00:00,69.39196646331479,1050.935197900609,0.0,0.0975,0.99,0.233525404,1.3,0.06,0.06899999999999999,2.014567111459969,3.11098,0.6590034644447762
2020-03-02 01:00:00,59.62785522754761,1067.124056585638,0.0,0.0975,0.99,0.223590491,1.3,0.06,0.06899999999999999,2.014567111459969,3.11098,0.6590034644447762
2020-03-02 02:00:00,57.28231008334268,1077.701103603481,0.0,0.0975,0.99,0.219196487,0.9,0.06,0.06899999999999999,2.001995709828392,3.11098,0.6540717336971933
2020-03-02 03:00:00,55.73066867643722,1087.820480435728,0.0,0.0975,0.99,0.213425737,1.0,0.06,0.06899999999999999,2.005123828125,3.11098,0.6552983097406673
2020-03-02 04:00:00,56.96855255426534,1089.907580716285,0.0,0.0975,0.99,0.213160924,1.4,0.06,0.06899999999999999,2.01773466981132,3.11098,0.660247062629544
2020-03-02 05:00:00,61.38939118806367,1093.93599366281,0.0,0.0975,0.99,0.212391639,1.6,0.06,0.06899999999999999,2.024099763406941,3.11098,0.6627472083740211
2020-03-02 06:00:00,76.27947020214141,1098.748859554579,0.0,0.0975,0.99,0.206727954,1.2,0.06,0.06899999999999999,2.01140948275862,3.11098,0.6577641538570105
2020-03-02 07:00:00,93.67220932845012,1125.13297442239,0.024542357132568013,0.15,0.99,0.203993944,1.5,0.06,0.06899999999999999,2.020912204724409,3.11098,0.6614949700215028
2020-03-02 08:00:00,114.9682951066016,1136.292495482885,0.23222986139166307,0.15,0.99,0.197188188,2.4,0.06,0.06894864378811753,2.049966853035143,3.11098,0.6729236883709621
2020-03-02 09:00:00,130.7861341693846,1133.941183613485,0.5307907820250642,0.15,0.99,0.189668869,3.3,0.06,0.06774987554137533,2.773158833063209,3.11098,0.9670285666673386
2020-03-02 10:00:00,126.569663916636,1058.720861229226,0.3809854909807073,0.15,0.99,0.184819321,3.6,0.06,0.0673502861257946,2.786708469055375,3.11098,0.9727012076949026
